genus_species,Elo_Progen2_medium_ll_mean,Elo_Progen2_medium_ll_SE,Elo_Progen2_base_ll_mean,Elo_Progen2_base_ll_SE,Elo_Progen2_large_ll_mean,Elo_Progen2_large_ll_SE,Elo_Progen2_xlarge_ll_mean,Elo_Progen2_xlarge_ll_SE,Elo_Progen2_BFD90_ll_mean,Elo_Progen2_BFD90_ll_SE,Elo_ESM2_650M_pppl_mean,Elo_ESM2_650M_pppl_SE,Elo_ESM2_3B_pppl_mean,Elo_ESM2_3B_pppl_SE,Elo_ESM2_15B_pppl_mean,Elo_ESM2_15B_pppl_SE
Aedes aegypti,1582.2659971839596,28.545500429395318,1642.0388697168191,30.11402436608994,1629.7237645913087,29.852707985191987,1529.0989760750474,27.920136893648706,1554.9559966520444,30.26680388942099,1438.8748320174855,27.29642530335974,1473.595943085508,25.41897665264755,1443.9356618021202,26.73424276234016
Yarrowia lipolytica,1170.666146604426,17.286938344012455,1289.5341986505412,17.82991784248217,1166.0716956889794,14.901504164978483,1056.0519472097114,14.547256045143182,1108.600766203202,14.688362466231402,1231.9638734803139,21.310079612636446,1262.6823736669635,20.212606636939086,1292.5896914033528,19.204472915751143
Schistosoma japonicum,908.4858896224692,13.735412011491078,997.4335499050367,14.504420834249906,879.8024489966162,12.80300245825064,806.3156291912966,11.140140877251437,826.0715952921834,11.318959992883114,1048.682874621792,11.27664009263983,1126.3119885123456,27.300021318648326,1154.1617788820201,24.81181392025004
Burkholderia mallei,1597.3550210530823,20.52635878970259,1514.4659720190473,24.48370114613114,1754.4151990212454,19.782481786420384,1616.5567295898486,15.608552537136381,1605.8567623310894,20.768974172809298,1567.539716092217,22.185782380151714,1591.771098985231,24.1537729065376,1578.293692906098,21.164811077938232
Enterobacter sp.,1897.2872924743801,16.03308973266458,1701.9115240280737,26.288128401950384,1851.5544493699035,17.687415736802,2029.6659114549009,16.03306513641296,1959.837279635579,16.064434781793963,1738.7430170428102,24.074895768869265,1724.6622880368095,28.07070594875496,1746.8628482978972,26.003504001011013
Saccharomyces cerevisiae,1152.5086968112955,18.057662412231156,1295.8708816193448,24.118836695924287,1157.8286392902648,16.838512656960397,1328.9631069699014,25.05544588414898,1183.2472523812369,19.103936524244975,1213.3456867884304,26.167917165034986,1245.2127327958615,22.501055995311102,1270.1492493999779,24.656458521989492
Streptomyces coelicolor,1699.1220324321257,29.80755646984883,1765.4692953296535,27.936461990558527,1823.6265582233414,30.173549464174542,1776.4110832234728,27.653706232964844,1734.4888312566572,28.993621452504836,1554.5788971476961,33.02936472615379,1515.6255275190495,26.427950815022953,1539.6278491307573,28.414953467576414
Mycoplasma pneumoniae,530.205508895522,12.67547181133818,767.0893668621326,22.842136075347703,506.6132344085599,14.348415641754972,379.2864640981201,9.985439174673083,486.4809350495398,12.844591615593174,990.078139194075,16.22652298851709,918.8659183870351,15.740270625469376,922.6573234537005,14.155624061760003
Nostoc sp.,1427.8528233932896,23.765822942225224,1418.443761866525,24.436275475255066,1396.1848511732433,21.985889869566762,1567.0335983843927,23.322738163731714,1510.7094012224695,23.933150299870807,1506.0888527581408,27.406548376585075,1457.2368780071276,32.36050416864134,1431.8994907851247,30.886982112271514
Lactococcus lactis,1269.3945294447124,18.74170281564464,1334.4228445358551,23.338337275860546,1216.9386097733834,17.930306037443483,1209.4786397889811,18.28374921820332,1249.7031908379163,18.60147130939482,1513.4123802604483,26.68999253958502,1534.214979656213,28.31581342090596,1473.0698368948717,27.765599458975256
Methanothermobacter thermautotrophicus,815.4209617909062,8.780414919906317,1121.8265982918324,28.6699384262253,773.852071810677,8.661714588944161,887.5401164726104,11.349535630912783,809.4806975143806,9.199270374591169,1451.5319673173078,26.13938977244917,1398.8461069011398,23.606615370853312,1383.9457249812858,24.34015819429654
Bos taurus,2223.267210444539,21.799209156139185,2120.437791779084,21.935688460714225,2183.691046458886,23.163673267802377,2387.0413691253516,10.643753971729097,2316.1296932063337,13.651375975972243,1620.2472442721,36.717822062735394,1721.9060320633323,36.7445635278256,1765.7449746828047,35.311748388291804
Rattus norvegicus,2123.957885551553,21.79176471436985,2030.0033601347493,24.22093022424428,2083.21159059952,22.144438362713256,2206.2379694469514,21.66343319392804,2176.9539172666487,19.925991591406234,1570.9287024916484,34.83887523635105,1662.7660991774555,34.597532514261324,1690.4122006827124,32.981874622779856
Aeromonas hydrophila,1714.324704294308,25.274639184783016,1548.457958995482,25.39892238979812,1643.479158321961,22.469731734503718,1576.442276562154,22.750219102617358,1657.9014986526538,23.551964262160492,1657.402472838011,27.485305886128362,1655.9987247168951,28.918187372802798,1621.800569812982,29.943428907397276
Photobacterium profundum,1680.6114750481502,21.87207009354495,1546.321610325913,24.779313019249855,1647.4715153100274,19.51985881164185,1605.6806303672984,20.828486089857286,1677.2000487645173,20.9003315207587,1665.5676772466823,25.588555648078792,1625.7071295159712,26.005826533547413,1611.4015807695157,23.203837181551062
Oceanobacillus iheyensis,1652.654135687989,26.3132668378029,1591.6060312117293,23.442158607857007,1589.1686241303082,24.58464239337347,1627.3660404353502,24.629557862280276,1650.630800689166,26.080089370691503,1699.1654470919739,29.61788927890597,1659.5316471139681,28.76591264338281,1591.0578294040627,27.90059839994254
Mannheimia succiniciproducens,1662.416420348493,21.558463951473275,1505.2923101353556,21.617009860117935,1589.063677517822,21.092162027698944,1615.576948764724,20.88591156400315,1613.2612624610297,23.59486011417671,1694.9524806810773,24.3494940161347,1685.0352717964208,23.217895157152505,1683.2382019076329,20.638734574571714
Gorilla gorilla,1871.5910026044594,12.259428073445626,1812.199049941291,14.351966133683145,1849.583675050624,14.905495839312373,2003.758170303711,9.887672453385488,1959.3153763727717,10.176976744474421,1642.5338282427335,17.596108680273467,1674.0181529324116,15.237868528625828,1766.7756631842165,15.89803352450526
Solanum lycopersicum,1587.4533995698582,27.61158934577954,1572.7669767574826,24.441983730759052,1526.004116103272,21.595953205923646,1619.6323862545623,23.229697731887594,1623.6144950256366,26.72938365957676,1161.23866309324,12.864143892058102,1362.6973007439155,19.563489228118467,1593.3630235535622,18.625675628184688
Rhizobium meliloti,1751.632845453758,24.22477009791576,1662.9932885296266,24.26673412202444,1799.524157293459,21.69765450519244,1716.358241986556,22.82154424157222,1778.7654417055123,23.089102449871337,1623.6163713747287,24.860064310693808,1608.4168183160225,24.114334584566034,1587.9926020378468,25.015297586909792
Ovis aries,2293.170646635068,11.227170739804142,2112.318583492258,19.356542076800626,2293.4640848796935,10.34585667603618,2392.9543141813324,8.895859810298331,2365.5093404021404,10.898051178582568,1729.1863404033056,31.261719393607326,1790.4178822706965,25.189864062181375,1830.0639452840655,24.410414876840033
Archaeoglobus fulgidus,790.1016164286577,11.993762215904407,1099.692992806071,33.33245348748321,715.8989969223426,13.003339109620647,851.5201287388371,17.68759551356091,770.7699355729087,14.049457329921712,1441.4122058834678,33.80590863174394,1450.0607671622588,31.609142267661664,1484.5199736382751,29.565595845143996
Toxoplasma gondii,941.8786868238916,5.073890066167227,1012.5864663392925,4.782107539228792,1024.7177666661012,4.602088034180167,965.4423982144182,5.729071680473501,918.7655890046979,4.615134446686974,973.0993065155802,5.298531475203096,1007.0460640200831,4.979283953885729,1038.025480173765,5.401726450188299
