Entry,Progen2_medium_ll,Progen2_base_ll,Progen2_large_ll,Progen2_xlarge_ll,Progen2_BFD90_ll,ESM2_650M_pppl,ESM2_3B_pppl,ESM2_15B_pppl
O00541,-0.877656281,-0.739061922,-0.673375756,-0.275375783,-0.557461798,-1.376412861,-1.153031156,-0.863480964
O15229,-1.115626574,-1.019284308,-1.055468678,-0.597102046,-0.828649253,-1.078029289,-0.841188899,-0.721647513
O15371,-1.028078854,-0.46554485,-0.500756636,-0.104517736,-0.28927131,-1.767278555,-1.147200191,-0.939403676
O15372,-1.272828221,-1.144460499,-0.878840148,-0.297280788,-0.522815168,-1.453509871,-1.36151093,-1.337643047
O43148,-1.465530753,-1.197695911,-1.246381998,-0.836779356,-1.065558076,-1.062195067,-0.843875171,-0.803533121
O43513,-1.492950797,-1.222215891,-1.241071641,-0.433496706,-1.072411358,-0.801664941,-0.416609822,-0.107298439
O43592,-0.818422586,-0.518612638,-1.056433201,-0.069353038,-0.394768536,-0.779631197,-0.175512917,-0.065683677
O43766,-0.735733479,-0.75745821,-0.824588925,-0.336110249,-0.584712058,-1.432264198,-1.094106108,-0.980498627
O60244,-0.509204268,-0.513450861,-0.602591127,-0.140511528,-0.526358217,-1.987540113,-1.362187974,-1.16369258
O75143,-0.80513075,-0.645346373,-0.659996361,-0.125450518,-0.463921264,-1.403597576,-0.529434813,-0.085243078
O75586,-1.019453734,-0.975120127,-1.231681943,-0.336259007,-0.776784986,-2.786966831,-1.384821221,-1.316517388
O75821,-1.199471503,-0.949104935,-0.996817678,-0.315189719,-0.712736309,-1.369259212,-0.974277261,-0.448193612
O75822,-0.822442114,-0.810392618,-0.893694788,-0.17764274,-0.595584303,-0.562089684,-0.209863908,-0.141035906
O75879,-1.162933469,-1.126570821,-1.052792609,-0.591560245,-0.937070668,-1.580804794,-1.552264108,-1.455300022
O94817,-1.15416348,-1.194417179,-1.228490472,-0.528842717,-1.023280293,-1.959024035,-1.817797249,-1.782499911
O95391,-1.315645695,-1.172454059,-1.130680799,-0.547852546,-0.963789791,-1.595388154,-1.317997542,-1.084105507
O96007,-1.41919601,-1.339848042,-1.361851513,-0.908626974,-1.175802946,-1.536266871,-1.499981053,-1.480826301
P00156,-0.641644776,-0.626429707,-0.634738535,-0.358635858,-0.571261972,-1.826371382,-1.666881594,-1.591325299
P00395,-0.290702984,-0.302669227,-0.32488142,-0.09003764,-0.251019351,-1.671199223,-1.62275877,-1.637322848
P00403,-1.031056166,-1.024515033,-1.024129927,-0.238180429,-0.881222248,-1.231437912,-1.034359335,-0.994572131
P00414,-0.472847909,-0.47319065,-0.471372381,-0.303386688,-0.419635415,-1.256433292,-0.92966763,-0.846002084
P00441,-1.036414355,-1.070252001,-1.049455166,-0.698870122,-1.024199367,-1.092783871,-0.977342723,-0.966218162
P00846,-0.73462674,-0.613341153,-0.637503088,-0.3003342,-0.508548364,-0.748655401,-0.447068016,-0.307059396
P00966,-0.590497762,-0.51616402,-0.546033919,-0.106592909,-0.277705766,-1.526210534,-1.1294063,-0.595240483
P02818,-2.425734282,-2.686134815,-2.436413407,-1.429378331,-2.238946557,-1.945742894,-1.102682147,-0.558067004
P03886,-0.633298069,-0.563984513,-0.624419212,-0.162425786,-0.421537533,-1.292303147,-1.184570335,-1.153049361
P03891,-0.90247488,-0.834899634,-0.875464529,-0.08989336,-0.538185626,-1.198122168,-0.948045644,-0.65016207
P03897,-1.129416049,-2.361068606,-1.08802104,-0.573151618,-0.901440293,-1.0309286,-0.756465098,-0.506431627
P03905,-0.866762727,-0.774977326,-0.870130211,-0.383073181,-0.667999774,-1.2428348,-1.129455363,-0.929101814
P03915,-1.296816289,-1.213170946,-0.887862682,-0.775400847,-1.174266219,-1.572407046,-1.334428506,-1.133213829
P03923,-1.391040266,-1.198850632,-1.463541746,-0.513994813,-1.004312187,-1.234702808,-0.73986262,-0.382538095
P03928,-1.572736859,-2.920987129,-2.447689652,-0.612453356,-1.254697889,-1.828250728,-1.36090034,-0.664524061
P04179,-0.686086208,-0.658064723,-0.742343783,-0.399130538,-0.571109071,-1.360527551,-1.262179785,-1.02445898
P04406,-0.258962527,-0.244904242,-0.312077641,-0.150086559,-0.211065397,-1.170646357,-1.020862042,-0.909743349
P05388,-0.26771611,-0.27633623,-0.298973262,-0.076539785,-0.188531637,-0.155775123,-0.033469418,-0.008638733
P06576,-0.473879978,-0.47871995,-0.491721764,-0.342600524,-0.426107004,-2.048886278,-1.947932589,-1.908768623
P06744,-0.634034187,-0.637613893,-0.653517544,-0.313717395,-0.519237801,-0.97806185,-0.82525319,-0.787103491
P07437,-0.083928064,-0.081697449,-0.09117917,-0.050732628,-0.086221665,-1.576046508,-1.496446523,-1.335438015
P07741,-1.221550524,-1.24450165,-1.180460393,-0.498166487,-0.828451961,-1.168681896,-1.069753748,-1.025009376
P08708,-0.25788077,-0.215448409,-0.344469711,-0.160903819,-0.25471653,-0.078919808,-0.031312229,-0.049664248
P08865,-0.188259788,-0.130287997,-0.150827259,-0.079943337,-0.127122246,-1.804106433,-1.536460449,-1.394339763
P09234,-0.448029578,-0.447968766,-0.525757998,-0.147583365,-0.26200895,-0.683226835,-0.031166402,-0.01072542
P0C0S5,-0.239229791,-0.264276274,-0.223538868,-0.185515292,-0.184665121,-1.689825356,-1.334685512,-0.885239367
P11021,-0.455982372,-0.44855845,-0.424868256,-0.197898708,-0.299627915,-1.152463482,-1.026064934,-1.088007941
P12004,-0.681941956,-0.669716418,-0.681182504,-0.219760202,-0.526675314,-1.195267341,-1.060995974,-0.881173835
P12882,-0.168603651,-0.163709156,-0.143106893,-0.105377041,-0.136287086,-1.203981306,-1.015333631,-0.937128866
P13639,-0.315408155,-0.21889969,-0.367100343,-0.036196006,-0.15910314,-1.562902735,-1.348673436,-1.117631125
P15104,-0.50737074,-0.445602596,-0.501376256,-0.164722271,-0.309600532,-1.625181807,-1.249179087,-0.96304708
P18124,-0.304709136,-0.237792507,-0.339276224,-0.164518371,-0.201547585,-0.963683968,-0.707252157,-0.422949723
P18621,-0.170705087,-0.176191147,-0.163094863,-0.102934297,-0.153440129,-1.699761356,-1.412861781,-1.055451171
P20226,-0.441930741,-0.488555968,-0.395417273,-0.141608797,-0.331940055,-1.275037813,-1.22616638,-1.171398586
P23526,-0.52084884,-0.539940804,-0.534564048,-0.220432192,-0.459084615,-1.660186886,-1.382325486,-1.186614109
P25705,-0.497697636,-0.446943119,-0.474199578,-0.175008044,-0.314011797,-1.574576845,-1.399957574,-1.390454875
P27635,-0.18876081,-0.177830435,-0.248654641,-0.127099544,-0.172189407,-0.04288343,-0.023098351,-0.03419007
P27797,-0.730403662,-0.752357244,-0.760340482,-0.4970074,-0.649044603,-0.951335693,-0.749920083,-0.626781629
P30793,-0.93681258,-0.919337302,-0.99446857,-0.523304,-0.764439523,-1.529266456,-1.435365623,-1.192188858
P31040,-0.498348787,-0.472886354,-0.479253545,-0.14820708,-0.35287115,-1.333152532,-1.118920956,-0.981858021
P36578,-0.498664826,-0.514095098,-0.531591728,-0.19968709,-0.364593223,-0.95017807,-0.613052327,-0.196876257
P36776,-0.675247639,-0.590280682,-0.608827174,-0.286023185,-0.529107332,-1.402401811,-1.346510119,-1.307820913
P38606,-0.548355013,-0.497725829,-0.485510319,-0.249033891,-0.404661685,-1.781053245,-1.541210903,-1.435999378
P39023,-0.230916895,-0.211169444,-0.305626333,-0.080900315,-0.176796459,-2.109338237,-1.936483987,-1.69803008
P39748,-0.952108681,-0.828993261,-0.937396169,-0.372061566,-0.718735784,-1.423486045,-1.248613564,-1.083759804
P40429,-0.451802984,-0.537020817,-0.530327082,-0.130918607,-0.251222827,-1.184097905,-0.929133813,-0.469271691
P42766,-0.343014628,-0.56201762,-0.380377516,-0.194664672,-0.233056456,-0.907182753,-0.565896275,-0.669023185
P43897,-1.665260673,-1.426618636,-1.679483473,-0.590211242,-1.311288089,-1.088559503,-0.570836191,-0.383087633
P46776,-0.337650791,-0.333586961,-0.370022386,-0.238152184,-0.298379153,-0.145934405,-0.116678766,-0.124371957
P46777,-0.171178147,-0.191312753,-0.235720582,-0.107019585,-0.13974154,-1.432154842,-0.937178017,-0.825854139
P47755,-0.355920449,-0.390023708,-0.424780071,-0.125062738,-0.308052182,-0.407693987,-0.306470673,-0.223980477
P47756,-0.361674473,-0.312526867,-0.352085248,-0.127906874,-0.218971364,-0.271121299,-0.116129756,-0.072884417
P49915,-0.318961129,-0.379264489,-0.403464451,-0.117175598,-0.231568366,-1.413802839,-1.237838534,-1.10319943
P50579,-0.519665569,-0.490018755,-0.516245082,-0.159075432,-0.399613544,-1.284636319,-0.811715593,-0.491807783
